"","Species","Mean","SD","2.5%","12.5%","25%","50%","75%","87.5%","97.5%","100%"
"b0","SP1","0.0942025600818445","0.74163694210473","-1.26517272858584","-0.679440141324576","-0.348618605405126","0.070116437283469","0.505015566554789","0.840381140588369","1.63960889036997","5.55694138626189"
"b1","SP1","1.1804180777095","1.36152543213155","-0.294846778955662","-0.0212894733859557","0.151363332192455","0.483881423899248","2.5972460094112","3.12690115200442","3.91692001025257","4.73695055676465"
"b2","SP1","0.90403509267983","1.07343650584232","-0.1633229346482","0.00463597471039901","0.119717673294244","0.293727904332549","2.05913709670658","2.52366129192626","2.98396647023809","3.42930152790337"
"b3","SP1","0.546767141667077","0.335737375251203","-0.0909116147395574","0.161271674488298","0.321976839040265","0.543234761113953","0.772551480100871","0.928967427464912","1.22833724183295","1.82652220159942"
"b4","SP1","0.301719981302502","0.252723608186839","-0.110007137183352","0.0352834294825514","0.126814960765216","0.271065396294696","0.442055131660277","0.585786020874579","0.919137931952569","1.3866302331437"
"b5","SP1","-0.178828154492515","0.282294710455395","-0.733949087098865","-0.476240974904817","-0.364528651124121","-0.187079367196635","-0.00592080396194549","0.143470422350868","0.405377217430558","0.91306306505152"
"b0.bt","SP1","0.518924001612148","0.156388135794073","0.220084837646987","0.336386292557916","0.41371745029901","0.517521927772507","0.623637244444897","0.698545469380124","0.837481379684566","0.996154280316737"
"p.ctw","SP1","-2.91562329523762","0.279900353414919","-3.45359915703036","-3.23921119629486","-3.11483994328892","-2.92223392481267","-2.72513667432157","-2.58739082766484","-2.36402546821859","-1.98076981817774"
"p.trw","SP1","-3.13500048504631","0.399476766423566","-4.08641104770322","-3.56754007915968","-3.35979069162683","-3.08958531010685","-2.86393276755632","-2.71311508558885","-2.48201225799197","-1.7339652413165"
"p.smw","SP1","-0.607698605764496","0.175482784281869","-0.944744417061923","-0.808890194203911","-0.726971717190024","-0.613637155948205","-0.484071636294295","-0.404121236011988","-0.261039467663796","-0.0660137238096858"
"p.ctw.bt","SP1","0.0531217038184368","0.0143399154538305","0.0306617079097163","0.0377165090034335","0.0424992553930476","0.0510653437184238","0.0615062919441167","0.0699543509282214","0.0859573994122998","0.121236798749192"
"p.trw.bt","SP1","0.0444407532580156","0.0155270430059097","0.0165218810915245","0.0274504103708432","0.0335760144305639","0.0435389007752545","0.0539655677864046","0.0622038868817357","0.0771288490637303","0.150081084335494"
"p.smw.bt","SP1","0.353602376287934","0.0399348342260858","0.279942996186197","0.308127040186885","0.325859615217155","0.351229961427258","0.381291129898724","0.400322572638351","0.435108203945863","0.483502559674074"
"b01","SP2","0.0688256472787587","0.500663676668198","-0.929435237115533","-0.463342280999329","-0.24881970188409","0.0693919137977022","0.353940655175982","0.567046757024119","1.23779741061847","2.09817469107192"
"b11","SP2","-0.626811743609118","0.396356830352679","-1.37681040727715","-1.08460602972141","-0.920759424113747","-0.635640732994527","-0.334701798800526","-0.156337016591148","0.114663296514294","0.739234777738009"
"b21","SP2","-0.0579125807762394","0.245317598556725","-0.503899797264405","-0.34102537291969","-0.225373607700621","-0.0652786835722516","0.105722388675797","0.223190264340296","0.437951006471565","0.846416943926436"
"b31","SP2","0.557598410231981","0.356372748194709","-0.17057292441513","0.133748934739474","0.314183632550683","0.574754570199207","0.805045465941392","0.973152281792237","1.23612577756078","1.54782864451891"
"b41","SP2","-0.410269190592865","0.243377071783961","-0.897925713400339","-0.705358012340069","-0.567876775393512","-0.403558641897876","-0.23899073804499","-0.13432958023399","0.0504710785668543","0.207361787447803"
"b51","SP2","-0.400307449426002","0.26229464294716","-0.889809726642845","-0.711020298930951","-0.587356445619505","-0.398761492699839","-0.210414833759872","-0.0903882239679747","0.0784724740300486","0.47985588705856"
"b0.bt1","SP2","0.515556274817616","0.11573815141802","0.28303934478982","0.386193296814212","0.438114032281109","0.517341020573617","0.587572835694195","0.638081378414694","0.775171592011353","0.890725641815219"
"p.ctw1","SP2","-4.6294676623564","0.776922612454419","-6.33583218480649","-5.47134640236134","-5.07660432942063","-4.56511571320837","-4.11157976765252","-3.81517968862506","-3.31088015237073","-1.98762272028098"
"p.trw1","SP2","-2.97301550909897","0.343821574021378","-3.68423260502268","-3.37444535617003","-3.19699648372581","-2.96348546486601","-2.7389111773564","-2.57855391985951","-2.33405954418855","-1.71941393605087"
"p.smw1","SP2","-1.20624671252285","0.207463562611298","-1.59495428415868","-1.44549337345916","-1.35062477325393","-1.20582574022261","-1.06466464490781","-0.963361236064246","-0.800583035357514","-0.59411785522327"
"p.ctw.bt1","SP2","0.0125429370046855","0.0100132314540985","0.00176853911382469","0.00418795336738223","0.00620235639014069","0.0103014515706858","0.016117834212337","0.0215587358070959","0.0351998834860745","0.120508594264771"
"p.trw.bt1","SP2","0.0511272686560296","0.0166202450909608","0.024501077261995","0.0331037300473356","0.0392789070071063","0.0491030071950826","0.0607159738021885","0.0705315247503011","0.0883411741350326","0.151946667795936"
"p.smw.bt1","SP2","0.232399257382242","0.036832314287093","0.168688006048184","0.190696112316754","0.205768247983972","0.230440472310125","0.256419045755609","0.276205724752666","0.309900940659602","0.355690585894466"
"b02","SP3","-0.66394566973043","0.776465238551704","-2.32343868133579","-1.46394023590483","-1.07982077777572","-0.634686922853532","-0.185257466007918","0.109394558397124","0.668816640568952","2.43966482225827"
"b12","SP3","-2.78576826890838","0.652323856485149","-4.10309788417462","-3.51121162145118","-3.19417462017503","-2.76506151955341","-2.32443027758013","-2.05137535347045","-1.56023981340738","-0.970683742287008"
"b22","SP3","0.130282392660732","0.405238613535986","-0.743067303132973","-0.348197411618418","-0.111826359210043","0.155210866695084","0.418044937308435","0.59111617672335","0.850354979957253","1.19939096071554"
"b32","SP3","0.70907551283393","0.343896304402405","0.0431974588230288","0.298930779069107","0.473567271579276","0.717601741296463","0.942438774813789","1.08903983273475","1.39802057784175","1.743052881046"
"b42","SP3","-0.379367057043589","0.290379719631926","-0.904928323387384","-0.70113165614478","-0.569743303152657","-0.379888762930867","-0.19832657845946","-0.0715164905522008","0.205592233858309","0.985758997620389"
"b52","SP3","0.408545626339582","0.283468877483997","-0.136745489916068","0.0893706254974756","0.214768613849365","0.401436608436416","0.607338132977539","0.739676930838484","0.954243419508855","1.39849843600343"
"b0.bt2","SP3","0.356288418753003","0.153156067751382","0.0892003342863512","0.187865442399154","0.253539967870897","0.346448555424613","0.453817643054894","0.52732139695751","0.661237856982103","0.919802366593657"
"p.ctw2","SP3","-2.53115368395404","0.25845695415015","-3.02225778901861","-2.83250994405476","-2.70576840949526","-2.52552565805276","-2.35413909303792","-2.22674230725014","-2.03660735164258","-1.687203046041"
"p.trw2","SP3","-2.60656872633917","0.289335188422415","-3.20063252532674","-2.94086183567971","-2.79382826133067","-2.59616156719308","-2.40900815102174","-2.27969291172202","-2.06871819194527","-1.65037192809495"
"p.smw2","SP3","-2.36084754509073","0.275796846371127","-2.90559264697177","-2.69440138904252","-2.55074144941533","-2.34425518448611","-2.16825913240411","-2.04945406586058","-1.84411793550144","-1.43724293615546"
"p.ctw.bt2","SP3","0.0756360350244797","0.017927106636462","0.0464304298221845","0.0555924741434734","0.0626338328400818","0.0740879975181597","0.0867373375684285","0.0973745935270489","0.115412644695149","0.1561440210143"
"p.trw.bt2","SP3","0.0710040074286146","0.0187881769689478","0.0391419267619988","0.0501701888227755","0.0576585977244952","0.0693858644926275","0.0824883542223568","0.0928188235550264","0.112174639540741","0.161058688767954"
"p.smw.bt2","SP3","0.088669593640552","0.0220985016622225","0.0518779068071683","0.0633045267075021","0.0723766906751229","0.0875234886318471","0.102637272497087","0.114107557190481","0.136565004787388","0.191972658816698"
